latitude;longitude;elevacao;diff_elev;distancias;soma_elev;soma_dist;km_group;desnivel_positivo;desnivel_negativo
-22.392683;-44.95656;1027.7;0.1;2.2;12.9;1185.23;2;0.1;0
-22.392677;-44.956537;1027.9;0.2;2.46;13.1;1187.69;2;0.2;0
-22.392671;-44.956513;1028;0.1;2.56;13.2;1190.25;2;0.1;0
-22.392664;-44.95649;1028.2;0.2;2.49;13.4;1192.74;2;0.2;0
-22.392658;-44.956466;1028.4;0.2;2.56;13.6;1195.3;2;0.2;0
-22.392664;-44.956445;1028.5;0.1;2.26;13.7;1197.56;2;0.1;0
-22.39267;-44.956424;1028.7;0.2;2.26;13.9;1199.82;2;0.2;0
-22.392677;-44.956402;1028.8;0.1;2.39;14;1202.21;2;0.1;0
-22.392683;-44.956381;1029;0.2;2.26;14.2;1204.47;2;0.2;0
-22.392689;-44.956359;1029.2;0.2;2.36;14.4;1206.83;2;0.2;0
-22.392681;-44.956326;1029.4;0.2;3.51;14.6;1210.34;2;0.2;0
-22.392672;-44.956293;1029.7;0.3;3.54;14.9;1213.88;2;0.3;0
-22.392664;-44.95626;1030;0.3;3.51;15.2;1217.39;2;0.3;0
-22.392657;-44.956221;1030.3;0.3;4.08;15.5;1221.47;2;0.3;0
-22.39265;-44.956182;1030.6;0.3;4.08;15.8;1225.55;2;0.3;0
-22.392643;-44.956143;1030.9;0.3;4.08;16.1;1229.63;2;0.3;0
-22.392644;-44.956116;1031.1;0.2;2.78;16.3;1232.41;2;0.2;0
-22.392645;-44.956089;1031.3;0.2;2.78;16.5;1235.19;2;0.2;0
-22.392646;-44.956062;1031.5;0.2;2.78;16.7;1237.97;2;0.2;0
-22.392647;-44.956034;1031.7;0.2;2.88;16.9;1240.85;2;0.2;0
-22.392662;-44.956016;1031.9;0.2;2.49;17.1;1243.34;2;0.2;0
-22.392676;-44.955997;1032;0.1;2.5;17.2;1245.84;2;0.1;0
-22.392691;-44.955978;1032.2;0.2;2.57;17.4;1248.41;2;0.2;0
-22.392706;-44.955959;1032.4;0.2;2.57;17.6;1250.98;2;0.2;0
-22.39272;-44.95594;1032.6;0.2;2.5;17.8;1253.48;2;0.2;0
-22.392714;-44.955901;1032.8;0.2;4.06;18;1257.54;2;0.2;0
-22.392707;-44.955861;1033.1;0.3;4.19;18.3;1261.73;2;0.3;0
-22.392701;-44.955822;1033.4;0.3;4.06;18.6;1265.79;2;0.3;0
-22.392695;-44.955782;1033.7;0.3;4.17;18.9;1269.96;2;0.3;0
-22.392654;-44.955713;1034.2;0.5;8.43;19.4;1278.39;2;0.5;0
-22.392645;-44.955691;1034.4;0.2;2.47;19.6;1280.86;2;0.2;0
-22.392625;-44.955647;1034.7;0.3;5.04;19.9;1285.9;2;0.3;0
-22.392617;-44.955621;1034.9;0.2;2.82;20.1;1288.72;2;0.2;0
-22.392609;-44.955594;1035.1;0.2;2.91;20.3;1291.63;2;0.2;0
-22.392601;-44.955567;1035.3;0.2;2.91;20.5;1294.54;2;0.2;0
-22.392593;-44.95554;1035.5;0.2;2.91;20.7;1297.45;2;0.2;0
-22.392585;-44.955517;1035.7;0.2;2.53;20.9;1299.98;2;0.2;0
-22.392576;-44.955493;1035.9;0.2;2.66;21.1;1302.64;2;0.2;0
-22.392568;-44.955469;1036;0.1;2.62;21.2;1305.26;2;0.1;0
-22.392559;-44.955445;1036.3;0.3;2.66;21.5;1307.92;2;0.3;0
-22.392551;-44.955426;1036.4;0.1;2.15;21.6;1310.07;2;0.1;0
-22.392543;-44.955406;1036.6;0.2;2.24;21.8;1312.31;2;0.2;0
-22.392534;-44.955387;1036.7;0.1;2.19;21.9;1314.5;2;0.1;0
-22.392526;-44.955367;1037;0.3;2.24;22.2;1316.74;2;0.3;0
-22.392518;-44.955347;1037.2;0.2;2.24;22.4;1318.98;2;0.2;0
-22.392509;-44.955332;1037.4;0.2;1.84;22.6;1320.82;2;0.2;0
-22.3925;-44.955317;1037.6;0.2;1.84;22.8;1322.66;2;0.2;0
-22.392491;-44.955302;1037.8;0.2;1.84;23;1324.5;2;0.2;0
-22.392482;-44.955287;1038;0.2;1.84;23.2;1326.34;2;0.2;0
-22.392473;-44.955272;1038.1;0.1;1.84;23.3;1328.18;2;0.1;0
-22.392464;-44.955257;1038.3;0.2;1.84;23.5;1330.02;2;0.2;0
-22.392455;-44.955242;1038.5;0.2;1.84;23.7;1331.86;2;0.2;0
-22.392439;-44.955214;1038.9;0.4;3.38;24.1;1335.24;2;0.4;0
-22.392423;-44.955186;1039.2;0.3;3.38;24.4;1338.62;2;0.3;0
-22.392407;-44.955158;1039.6;0.4;3.38;24.8;1342;2;0.4;0
-22.392406;-44.95514;1039.8;0.2;1.85;25;1343.85;2;0.2;0
-22.392405;-44.955123;1039.9;0.1;1.75;25.1;1345.6;2;0.1;0
-22.392403;-44.955106;1040.1;0.2;1.76;25.3;1347.36;2;0.2;0
-22.392402;-44.955089;1040.3;0.2;1.75;25.5;1349.11;2;0.2;0
-22.392401;-44.955072;1040.5;0.2;1.75;25.7;1350.86;2;0.2;0
-22.392399;-44.955055;1040.7;0.2;1.76;25.9;1352.62;2;0.2;0
-22.392404;-44.955032;1040.9;0.2;2.43;26.1;1355.05;2;0.2;0
-22.392408;-44.955009;1041.2;0.3;2.41;26.4;1357.46;2;0.3;0
-22.392412;-44.954987;1041.4;0.2;2.31;26.6;1359.77;2;0.2;0
-22.392416;-44.954964;1041.7;0.3;2.41;26.9;1362.18;2;0.3;0
-22.39242;-44.954942;1041.9;0.2;2.31;27.1;1364.49;2;0.2;0
