;latitude;longitude;elevacao;diff_elev;distancias;soma_elev;soma_dist;km_group;desnivel_positivo;desnivel_negativo
10869;-22.393809;-44.953749;1065.2;-0.2999999999999545;2.85;50.40000000000009;31359.9500000002;32;0.0;-0.2999999999999545
10870;-22.393802;-44.953774;1066.8;1.599999999999909;2.69;52.0;31362.6400000002;32;1.599999999999909;0.0
10871;-22.393793;-44.953796;1066.3;-0.5;2.47;51.5;31365.1100000002;32;0.0;-0.5
10872;-22.393782;-44.953815;1066.3;0.0;2.3;51.5;31367.4100000002;32;0.0;0.0
10873;-22.393755;-44.953831;1066.9;0.6000000000001364;3.42;52.100000000000136;31370.8300000002;32;0.6000000000001364;0.0
10874;-22.393749;-44.95385;1067.0;0.09999999999990905;2.06;52.200000000000045;31372.8900000002;32;0.09999999999990905;0.0
10875;-22.393736;-44.953868;1066.2;-0.7999999999999545;2.35;51.40000000000009;31375.240000000198;32;0.0;-0.7999999999999545
10876;-22.393718;-44.953881;1067.4;1.2000000000000455;2.41;52.600000000000136;31377.650000000198;32;1.2000000000000455;0.0
10877;-22.393702;-44.953891;1067.5;0.09999999999990905;2.05;52.700000000000045;31379.700000000197;32;0.09999999999990905;0.0
10878;-22.393686;-44.953902;1068.6;1.099999999999909;2.11;53.799999999999955;31381.810000000198;32;1.099999999999909;0.0
10879;-22.393669;-44.953911;1067.7;-0.8999999999998636;2.1;52.90000000000009;31383.910000000196;32;0.0;-0.8999999999998636
10880;-22.393634;-44.953914;1068.6;0.8999999999998636;3.9;53.799999999999955;31387.810000000198;32;0.8999999999998636;0.0
10881;-22.393615;-44.953915;1068.65;0.0500000000001819;2.12;53.850000000000136;31389.930000000197;32;0.0500000000001819;0.0
10882;-22.39358;-44.953915;1069.4;0.75;3.89;54.600000000000136;31393.820000000196;32;0.75;0.0
10883;-22.39356;-44.953914;1069.9;0.5;2.23;55.100000000000136;31396.050000000196;32;0.5;0.0
10884;-22.393536;-44.95391;1069.9;0.0;2.7;55.100000000000136;31398.750000000196;32;0.0;0.0
10885;-22.393512;-44.953904;1071.4;1.5;2.74;56.600000000000136;31401.490000000198;32;1.5;0.0
10886;-22.393492;-44.953901;1071.45;0.049999999999954525;2.25;56.65000000000009;31403.740000000198;32;0.049999999999954525;0.0
10887;-22.393453;-44.953897;1071.7;0.25;4.36;56.90000000000009;31408.1000000002;32;0.25;0.0
10888;-22.39343;-44.953888;1071.7;0.0;2.72;56.90000000000009;31410.8200000002;32;0.0;0.0
10889;-22.393401;-44.953878;1071.6;-0.10000000000013642;3.38;56.799999999999955;31414.2000000002;32;0.0;-0.10000000000013642
10890;-22.393372;-44.953868;1071.4;-0.1999999999998181;3.38;56.600000000000136;31417.580000000202;32;0.0;-0.1999999999998181
10891;-22.393343;-44.953858;1073.2;1.7999999999999545;3.38;58.40000000000009;31420.960000000203;32;1.7999999999999545;0.0
10892;-22.393309;-44.953858;1073.0;-0.20000000000004547;3.78;58.200000000000045;31424.7400000002;32;0.0;-0.20000000000004547
10893;-22.393274;-44.953858;1072.8;-0.20000000000004547;3.89;58.0;31428.6300000002;32;0.0;-0.20000000000004547
10894;-22.393239;-44.953858;1072.5;-0.2999999999999545;3.89;57.700000000000045;31432.5200000002;32;0.0;-0.2999999999999545
10895;-22.393217;-44.953864;1072.5;0.0;2.52;57.700000000000045;31435.0400000002;32;0.0;0.0
10896;-22.393191;-44.953868;1069.9;-2.599999999999909;2.92;55.100000000000136;31437.9600000002;32;0.0;-2.599999999999909
10897;-22.393165;-44.953873;1069.5;-0.40000000000009095;2.94;54.700000000000045;31440.900000000198;32;0.0;-0.40000000000009095
10898;-22.393139;-44.953877;1069.5;0.0;2.92;54.700000000000045;31443.820000000196;32;0.0;0.0
10899;-22.393113;-44.953881;1069.1;-0.40000000000009095;2.92;54.299999999999955;31446.740000000194;32;0.0;-0.40000000000009095
10900;-22.39309;-44.953882;1068.7;-0.3999999999998636;2.56;53.90000000000009;31449.300000000196;32;0.0;-0.3999999999998636
10901;-22.393066;-44.953883;1068.7;0.0;2.67;53.90000000000009;31451.970000000194;32;0.0;0.0
10902;-22.393043;-44.953884;1068.3;-0.40000000000009095;2.56;53.5;31454.530000000195;32;0.0;-0.40000000000009095
10903;-22.393019;-44.953886;1068.3;0.0;2.68;53.5;31457.210000000196;32;0.0;0.0
10904;-22.392998;-44.953888;1067.8;-0.5;2.34;53.0;31459.550000000196;32;0.0;-0.5
10905;-22.392976;-44.95389;1067.8;0.0;2.45;53.0;31462.000000000196;32;0.0;0.0
10906;-22.392955;-44.953892;1067.3;-0.5;2.34;52.5;31464.340000000197;32;0.0;-0.5
10907;-22.392933;-44.953894;1066.7;-0.599999999999909;2.45;51.90000000000009;31466.790000000197;32;0.0;-0.599999999999909
10908;-22.392911;-44.953897;1066.7;0.0;2.47;51.90000000000009;31469.2600000002;32;0.0;0.0
10909;-22.392888;-44.953895;1066.2;-0.5;2.57;51.40000000000009;31471.8300000002;32;0.0;-0.5
10910;-22.392865;-44.953893;1066.2;0.0;2.57;51.40000000000009;31474.400000000198;32;0.0;0.0
10911;-22.392842;-44.953892;1065.6;-0.6000000000001364;2.56;50.799999999999955;31476.9600000002;32;0.0;-0.6000000000001364
10912;-22.392818;-44.95389;1065.6;0.0;2.68;50.799999999999955;31479.6400000002;32;0.0;0.0
10913;-22.39279;-44.953883;1065.1;-0.5;3.2;50.299999999999955;31482.8400000002;32;0.0;-0.5
10914;-22.392762;-44.953875;1064.6;-0.5;3.22;49.799999999999955;31486.0600000002;32;0.0;-0.5
10915;-22.392734;-44.953867;1064.1;-0.5;3.22;49.299999999999955;31489.280000000203;32;0.0;-0.5
10916;-22.392706;-44.953859;1066.2;2.1000000000001364;3.22;51.40000000000009;31492.500000000204;32;2.1000000000001364;0.0
10917;-22.392681;-44.953847;1065.6;-0.6000000000001364;3.04;50.799999999999955;31495.540000000205;32;0.0;-0.6000000000001364
10918;-22.392655;-44.953834;1065.1;-0.5;3.19;50.299999999999955;31498.730000000203;32;0.0;-0.5
10919;-22.39263;-44.953822;1066.9;1.800000000000182;3.04;52.100000000000136;31501.770000000204;32;1.800000000000182;0.0
10920;-22.392604;-44.95381;1066.3;-0.6000000000001364;3.14;51.5;31504.910000000204;32;0.0;-0.6000000000001364
10921;-22.392581;-44.953808;1066.3;0.0;2.57;51.5;31507.480000000203;32;0.0;0.0
10922;-22.392557;-44.953806;1065.6;-0.7000000000000455;2.68;50.799999999999955;31510.160000000204;32;0.0;-0.7000000000000455
10923;-22.392533;-44.953805;1064.8;-0.7999999999999545;2.67;50.0;31512.830000000202;32;0.0;-0.7999999999999545
10924;-22.392509;-44.953803;1064.9;0.10000000000013642;2.68;50.100000000000136;31515.510000000202;32;0.10000000000013642;0.0
10925;-22.392486;-44.953804;1064.0;-0.900000000000091;2.56;49.200000000000045;31518.070000000203;32;0.0;-0.900000000000091
10926;-22.392463;-44.953805;1064.0;0.0;2.56;49.200000000000045;31520.630000000205;32;0.0;0.0
10927;-22.39244;-44.953806;1063.2;-0.7999999999999545;2.56;48.40000000000009;31523.190000000206;32;0.0;-0.7999999999999545
10928;-22.392417;-44.953806;1062.2;-1.0;2.56;47.40000000000009;31525.750000000207;32;0.0;-1.0
10929;-22.392392;-44.953809;1062.2;0.0;2.8;47.40000000000009;31528.550000000207;32;0.0;0.0
10930;-22.392366;-44.953811;1061.2;-1.0;2.9;46.40000000000009;31531.450000000208;32;0.0;-1.0
10931;-22.392341;-44.953813;1061.2;0.0;2.79;46.40000000000009;31534.24000000021;32;0.0;0.0
10932;-22.392315;-44.953815;1060.1;-1.1000000000001364;2.9;45.299999999999955;31537.14000000021;32;0.0;-1.1000000000001364
10933;-22.392298;-44.95382;1059.0;-1.099999999999909;1.96;44.200000000000045;31539.10000000021;32;0.0;-1.099999999999909
10934;-22.39228;-44.953824;1057.5;-1.5;2.04;42.700000000000045;31541.14000000021;32;0.0;-1.5
10935;-22.392263;-44.953828;1057.6;0.09999999999990905;1.93;42.799999999999955;31543.07000000021;32;0.09999999999990905;0.0
10936;-22.392245;-44.953832;1056.5;-1.099999999999909;2.04;41.700000000000045;31545.11000000021;32;0.0;-1.099999999999909
10937;-22.392227;-44.953837;1056.5;0.0;2.07;41.700000000000045;31547.18000000021;32;0.0;0.0
10938;-22.392206;-44.953853;1055.5;-1.0;2.86;40.700000000000045;31550.040000000212;32;0.0;-1.0
10939;-22.392185;-44.953869;1054.1;-1.400000000000091;2.86;39.299999999999955;31552.900000000212;32;0.0;-1.400000000000091
10940;-22.392164;-44.953885;1053.4;-0.6999999999998181;2.86;38.600000000000136;31555.760000000213;32;0.0;-0.6999999999998181
10941;-22.392143;-44.953901;1053.4;0.0;2.86;38.600000000000136;31558.620000000214;32;0.0;0.0
10942;-22.392122;-44.953917;1051.75;-1.650000000000091;2.86;36.950000000000045;31561.480000000214;32;0.0;-1.650000000000091
10943;-22.392099;-44.953923;1051.4;-0.34999999999990905;2.63;36.600000000000136;31564.110000000215;32;0.0;-0.34999999999990905
10944;-22.392077;-44.953929;1051.4;0.0;2.52;36.600000000000136;31566.630000000216;32;0.0;0.0
10945;-22.392062;-44.953947;1051.2;-0.20000000000004547;2.49;36.40000000000009;31569.120000000217;32;0.0;-0.20000000000004547
10946;-22.39204;-44.953971;1050.4;-0.7999999999999545;3.47;35.600000000000136;31572.59000000022;32;0.0;-0.7999999999999545
10947;-22.392013;-44.953996;1049.4;-1.0;3.95;34.600000000000136;31576.54000000022;32;0.0;-1.0
10948;-22.392;-44.954016;1049.595652173913;0.19565217391300394;2.51;34.79565217391314;31579.050000000218;32;0.19565217391300394;0.0
10949;-22.392;-44.954043;1049.1;-0.49565217391318583;2.78;34.299999999999955;31581.830000000216;32;0.0;-0.49565217391318583
10950;-22.392002;-44.954068;1049.1;0.0;2.58;34.299999999999955;31584.410000000218;32;0.0;0.0
10951;-22.391996;-44.954087;1048.5;-0.599999999999909;2.06;33.700000000000045;31586.47000000022;32;0.0;-0.599999999999909
10952;-22.391988;-44.954122;1048.5;0.0;3.71;33.700000000000045;31590.18000000022;32;0.0;0.0
10953;-22.391979;-44.954139;1047.8;-0.7000000000000455;2.01;33.0;31592.190000000217;32;0.0;-0.7000000000000455
10954;-22.39197;-44.954157;1047.8;0.0;2.1;33.0;31594.290000000216;32;0.0;0.0
10955;-22.391963;-44.954181;1047.2;-0.599999999999909;2.59;32.40000000000009;31596.880000000216;32;0.0;-0.599999999999909
10956;-22.391948;-44.954198;1047.2;0.0;2.42;32.40000000000009;31599.300000000214;32;0.0;0.0
10957;-22.391933;-44.954221;1046.6;-0.6000000000001364;2.89;31.799999999999955;31602.190000000213;32;0.0;-0.6000000000001364
10958;-22.39192;-44.954246;1046.6;0.0;2.95;31.799999999999955;31605.140000000214;32;0.0;0.0
10959;-22.391909;-44.954273;1046.0;-0.599999999999909;3.03;31.200000000000045;31608.170000000213;32;0.0;-0.599999999999909
10960;-22.391902;-44.954302;1045.1;-0.900000000000091;3.08;30.299999999999955;31611.250000000215;32;0.0;-0.900000000000091
10961;-22.391896;-44.954331;1045.1;0.0;3.06;30.299999999999955;31614.310000000216;32;0.0;0.0
10962;-22.391891;-44.954361;1044.3;-0.7999999999999545;3.13;29.5;31617.440000000217;32;0.0;-0.7999999999999545
10963;-22.391883;-44.954389;1043.5;-0.7999999999999545;3.01;28.700000000000045;31620.450000000215;32;0.0;-0.7999999999999545
10964;-22.391876;-44.954422;1043.5;0.0;3.48;28.700000000000045;31623.930000000215;32;0.0;0.0
