;latitude;longitude;elevacao;diff_elev;distancias;soma_elev;soma_dist;km_group;desnivel_positivo;desnivel_negativo
96;-22,3923853;-44,9645609;920,0;0,0;3,74;-2,0;364,1399999999999;1;0,0;0,0
97;-22,3924184;-44,964555;920,0;0,0;3,73;-2,0;367,8699999999999;1;0,0;0,0
98;-22,3924515;-44,9645491;920,0;0,0;3,73;-2,0;371,5999999999999;1;0,0;0,0
99;-22,3924838;-44,9645435;920,0;0,0;3,64;-2,0;375,2399999999999;1;0,0;0,0
100;-22,3925162;-44,964538;920,0;0,0;3,65;-2,0;378,8899999999999;1;0,0;0,0
101;-22,3925475;-44,9645329;920,0;0,0;3,52;-2,0;382,40999999999985;1;0,0;0,0
102;-22,3925789;-44,9645278;921,0;1,0;3,53;-1,0;385,9399999999998;1;1,0;0,0
103;-22,3926095;-44,9645226;921,0;0,0;3,44;-1,0;389,3799999999998;1;0,0;0,0
104;-22,3926402;-44,9645175;921,0;0,0;3,45;-1,0;392,8299999999998;1;0,0;0,0
105;-22,3926701;-44,9645091;921,0;0,0;3,44;-1,0;396,2699999999998;1;0,0;0,0
106;-22,3927;-44,9645007;921,0;0,0;3,44;-1,0;399,7099999999998;1;0,0;0,0
107;-22,3927294;-44,9644891;921,0;0,0;3,48;-1,0;403,1899999999998;1;0,0;0,0
108;-22,3927588;-44,9644775;921,0;0,0;3,48;-1,0;406,66999999999985;1;0,0;0,0
109;-22,3927881;-44,9644631;921,0;0,0;3,58;-1,0;410,24999999999983;1;0,0;0,0
110;-22,3928175;-44,9644488;921,0;0,0;3,58;-1,0;413,8299999999998;1;0,0;0,0
111;-22,3928442;-44,9644271;921,0;0,0;3,71;-1,0;417,5399999999998;1;0,0;0,0
112;-22,3928708;-44,9644053;921,0;0,0;3,71;-1,0;421,2499999999998;1;0,0;0,0
113;-22,3928903;-44,9643737;921,0;0,0;3,91;-1,0;425,1599999999998;1;0,0;0,0
114;-22,3929098;-44,9643421;921,0;0,0;3,91;-1,0;429,0699999999998;1;0,0;0,0
115;-22,392915;-44,9643031;921,0;0,0;4,05;-1,0;433,11999999999983;1;0,0;0,0
116;-22,3929203;-44,9642641;921,0;0,0;4,05;-1,0;437,16999999999985;1;0,0;0,0
117;-22,3929101;-44,9642253;921,0;0,0;4,15;-1,0;441,3199999999998;1;0,0;0,0
118;-22,3928999;-44,9641868;920,0;-1,0;4,12;-2,0;445,4399999999998;1;0,0;-1,0
119;-22,3928802;-44,9641529;920,0;0,0;4,12;-2,0;449,55999999999983;1;0,0;0,0
120;-22,3928606;-44,9641191;920,0;0,0;4,1;-2,0;453,65999999999985;1;0,0;0,0
121;-22,392838;-44,9640891;920,0;0,0;3,98;-2,0;457,6399999999999;1;0,0;0,0
122;-22,3928154;-44,9640593;920,0;0,0;3,96;-2,0;461,59999999999985;1;0,0;0,0
123;-22,3927998;-44,9640293;920,0;0,0;3,54;-2,0;465,1399999999999;1;0,0;0,0
124;-22,3927842;-44,9639994;920,0;0,0;3,53;-2,0;468,66999999999985;1;0,0;0,0
125;-22,3927825;-44,9639678;920,0;0,0;3,25;-2,0;471,91999999999985;1;0,0;0,0
126;-22,3927809;-44,9639363;920,0;0,0;3,24;-2,0;475,15999999999985;1;0,0;0,0
127;-22,392792;-44,9639055;920,0;0,0;3,4;-2,0;478,55999999999983;1;0,0;0,0
128;-22,3928032;-44,9638747;920,0;0,0;3,4;-2,0;481,9599999999998;1;0,0;0,0
129;-22,3928213;-44,9638446;920,0;0,0;3,69;-2,0;485,6499999999998;1;0,0;0,0
130;-22,3928395;-44,9638145;920,0;0,0;3,7;-2,0;489,3499999999998;1;0,0;0,0
131;-22,3928606;-44,9637843;920,0;0,0;3,89;-2,0;493,2399999999998;1;0,0;0,0
132;-22,3928817;-44,9637541;920,0;0,0;3,89;-2,0;497,12999999999977;1;0,0;0,0
133;-22,3929042;-44,9637235;919,0;-1,0;4,02;-3,0;501,14999999999975;1;0,0;-1,0
134;-22,3929267;-44,9636929;919,0;0,0;4,02;-3,0;505,16999999999973;1;0,0;0,0
135;-22,3929484;-44,9636623;919,0;0,0;3,96;-3,0;509,1299999999997;1;0,0;0,0
136;-22,3929702;-44,9636318;919,0;0,0;3,96;-3,0;513,0899999999997;1;0,0;0,0
137;-22,3929893;-44,9636015;919,0;0,0;3,77;-3,0;516,8599999999997;1;0,0;0,0
138;-22,3930084;-44,9635715;919,0;0,0;3,74;-3,0;520,5999999999997;1;0,0;0,0
139;-22,3930208;-44,9635412;919,0;0,0;3,41;-3,0;524,0099999999996;1;0,0;0,0
140;-22,3930332;-44,9635109;919,0;0,0;3,41;-3,0;527,4199999999996;1;0,0;0,0
141;-22,393031;-44,9634823;919,0;0,0;2,95;-3,0;530,3699999999997;1;0,0;0,0
142;-22,3930288;-44,9634537;920,0;1,0;2,95;-2,0;533,3199999999997;1;1,0;0,0
143;-22,3930125;-44,9634296;920,0;0,0;3,07;-2,0;536,3899999999998;1;0,0;0,0
144;-22,3929963;-44,9634055;920,0;0,0;3,06;-2,0;539,4499999999997;1;0,0;0,0
145;-22,3929719;-44,9633855;920,0;0,0;3,4;-2,0;542,8499999999997;1;0,0;0,0
146;-22,3929476;-44,9633656;920,0;0,0;3,39;-2,0;546,2399999999997;1;0,0;0,0
147;-22,392919;-44,963349;920,0;0,0;3,61;-2,0;549,8499999999997;1;0,0;0,0
148;-22,3928905;-44,9633324;920,0;0,0;3,6;-2,0;553,4499999999997;1;0,0;0,0
149;-22,3928597;-44,9633173;920,0;0,0;3,76;-2,0;557,2099999999997;1;0,0;0,0
150;-22,3928289;-44,9633023;920,0;0,0;3,76;-2,0;560,9699999999997;1;0,0;0,0
151;-22,3927971;-44,9632877;920,0;0,0;3,84;-2,0;564,8099999999997;1;0,0;0,0
152;-22,3927653;-44,9632731;920,0;0,0;3,84;-2,0;568,6499999999997;1;0,0;0,0
153;-22,3927337;-44,9632578;920,0;0,0;3,85;-2,0;572,4999999999998;1;0,0;0,0
154;-22,3927023;-44,9632425;920,0;0,0;3,83;-2,0;576,3299999999998;1;0,0;0,0
155;-22,3926711;-44,9632263;920,0;0,0;3,85;-2,0;580,1799999999998;1;0,0;0,0
156;-22,3926399;-44,9632102;920,0;0,0;3,84;-2,0;584,0199999999999;1;0,0;0,0
157;-22,3926091;-44,963194;920,0;0,0;3,81;-2,0;587,8299999999998;1;0,0;0,0
158;-22,3925784;-44,9631779;920,0;0,0;3,79;-2,0;591,6199999999998;1;0,0;0,0
159;-22,3925484;-44,9631613;920,0;0,0;3,75;-2,0;595,3699999999998;1;0,0;0,0
160;-22,3925185;-44,9631448;920,0;0,0;3,73;-2,0;599,0999999999998;1;0,0;0,0
161;-22,3924884;-44,9631276;920,0;0,0;3,79;-2,0;602,8899999999998;1;0,0;0,0
162;-22,3924583;-44,9631104;920,0;0,0;3,79;-2,0;606,6799999999997;1;0,0;0,0
163;-22,3924282;-44,963093;920,0;0,0;3,8;-2,0;610,4799999999997;1;0,0;0,0
164;-22,3923981;-44,9630756;920,0;0,0;3,8;-2,0;614,2799999999996;1;0,0;0,0
165;-22,3923696;-44,9630582;920,0;0,0;3,64;-2,0;617,9199999999996;1;0,0;0,0
166;-22,3923412;-44,9630409;920,0;0,0;3,62;-2,0;621,5399999999996;1;0,0;0,0
167;-22,392316;-44,9630245;920,0;0,0;3,27;-2,0;624,8099999999996;1;0,0;0,0
168;-22,3922908;-44,9630082;920,0;0,0;3,26;-2,0;628,0699999999996;1;0,0;0,0
169;-22,3922673;-44,962993;920,0;0,0;3,04;-2,0;631,1099999999996;1;0,0;0,0
170;-22,3922439;-44,9629778;920,0;0,0;3,04;-2,0;634,1499999999995;1;0,0;0,0
171;-22,3922206;-44,9629632;920,0;0,0;2,99;-2,0;637,1399999999995;1;0,0;0,0
172;-22,3921973;-44,9629487;921,0;1,0;2,99;-1,0;640,1299999999995;1;1,0;0,0
173;-22,3921734;-44,9629339;921,0;0,0;3,06;-1,0;643,1899999999995;1;0,0;0,0
174;-22,3921496;-44,9629191;921,0;0,0;3,05;-1,0;646,2399999999994;1;0,0;0,0
175;-22,3921265;-44,9629037;922,0;1,0;3,02;0,0;649,2599999999994;1;1,0;0,0
176;-22,3921035;-44,9628883;922,0;0,0;3,01;0,0;652,2699999999994;1;0,0;0,0
177;-22,3920822;-44,9628729;923,0;1,0;2,85;1,0;655,1199999999994;1;1,0;0,0
178;-22,392061;-44,9628576;923,0;0,0;2,83;1,0;657,9499999999995;1;0,0;0,0
179;-22,3920414;-44,9628433;923,0;0,0;2,63;1,0;660,5799999999995;1;0,0;0,0
180;-22,3920219;-44,962829;923,0;0,0;2,62;1,0;663,1999999999995;1;0,0;0,0
181;-22,3920035;-44,9628147;923,0;0,0;2,52;1,0;665,7199999999995;1;0,0;0,0
182;-22,3919852;-44,9628006;924,0;1,0;2,5;2,0;668,2199999999995;1;1,0;0,0
183;-22,3919671;-44,9627849;924,0;0,0;2,58;2,0;670,7999999999995;1;0,0;0,0
184;-22,391949;-44,9627693;924,0;0,0;2,57;2,0;673,3699999999995;1;0,0;0,0
185;-22,3919299;-44,9627519;924,0;0,0;2,78;2,0;676,1499999999995;1;0,0;0,0
186;-22,3919108;-44,9627346;924,0;0,0;2,77;2,0;678,9199999999995;1;0,0;0,0
187;-22,3918896;-44,9627162;925,0;1,0;3,02;3,0;681,9399999999995;1;1,0;0,0
188;-22,3918684;-44,9626978;925,0;0,0;3,02;3,0;684,9599999999995;1;0,0;0,0
189;-22,3918454;-44,9626796;925,0;0,0;3,17;3,0;688,1299999999994;1;0,0;0,0
190;-22,3918224;-44,9626614;925,0;0,0;3,17;3,0;691,2999999999994;1;0,0;0,0
191;-22,3917971;-44,9626454;925,0;0,0;3,26;3,0;694,5599999999994;1;0,0;0,0
192;-22,3917718;-44,9626294;925,0;0,0;3,26;3,0;697,8199999999994;1;0,0;0,0
193;-22,3917454;-44,9626149;925,0;0,0;3,29;3,0;701,1099999999993;1;0,0;0,0
194;-22,3917189;-44,9626004;925,0;0,0;3,3;3,0;704,4099999999993;1;0,0;0,0
195;-22,3916917;-44,9625877;925,0;0,0;3,29;3,0;707,6999999999992;1;0,0;0,0
196;-22,3916646;-44,9625751;925,0;0,0;3,28;3,0;710,9799999999992;1;0,0;0,0
197;-22,3916368;-44,9625629;925,0;0,0;3,34;3,0;714,3199999999993;1;0,0;0,0
